ft	ap1	flowering
2.80456525506452	4.43958241705501	0
3.67969949031249	8.96399980579281	0
1.78506293101236	5.25666877674121	0
6.85192672535777	7.32970257440481	0
0.0499228830449283	9.58046337356791	0
4.84664074843749	4.09694177568564	0
6.56319919740781	4.85476657373849	0
2.47244828147814	1.2634780565173	0
2.54497847985476	3.57143344862232	0
9.49041616171598	1.18678384114474	0
4.28403872996569	6.57118957241699	0
3.54070328408852	2.9865372332353	0
1.50897638872266	5.65657144179568	0
4.31410455030891	4.40232093978755	0
8.30599618609995	4.43782735979012	0
6.62321568699554	5.90325317074996	0
0.781088953372091	3.57084874492532	0
9.01833368698135	5.03197313984856	0
1.63360580569133	6.40450624749064	0
7.86067579872906	8.59150570915553	0
5.84542407188565	2.82314422947764	0
7.27686044938809	1.98243496360347	0
0.959932783152908	2.66996297032154	0
5.55379126049072	2.77170132635072	0
19.8217654563121	11.4478753646675	0
25.9646313517861	13.2918334947452	0
8.86772121535614	6.01245793513954	0
1.57954243943095	3.43235094791695	0
8.79488967824727	10.3225629244687	0
6.3429210986942	2.02523231801823	0
2.5358096143643	8.35018462097466	0
15.2958195700988	11.8786962280068	1
24.6094438049346	10.158263452069	1
42.0227587195672	14.342989232485	1
24.2093078735173	12.5970063713685	1
10.7673639144365	10.6222109370571	0
6.58171291694343	3.20537986243248	0
2.28194955026403	6.22607846764281	0
2.15427125050858	7.20007484957233	0
9.38251117942855	4.7724014388476	0
7.62508377199993	7.20053225197971	0
4.6365508204326	1.92931086486447	0
4.52232774812728	3.68521138600603	0
5.06977309007198	7.21250842066839	0
4.14739694911987	10.0711503273493	0
4.92194156395271	6.37614852323085	0
4.27822029683739	5.26809458124304	0
1.59872461110353	2.5282795318763	0
6.17636151611805	0.816807690983355	0
10.1527760337602	6.3630068695752	0
6.47010499611497	9.7783615939919	0
9.19964289208153	1.29364846801904	0
32.8213913310565	9.6952591777873	0
48.5590383435316	16.0107181544513	1
28.6001679212213	5.87181482573181	0
14.6631413172193	11.5357419479425	0
10.0034924892901	5.7504995890817	0
9.2054323067781	3.00424100172305	0
6.32400601681566	3.54931864343968	0
5.214632533025	1.93629998246375	0
4.67716537183151	5.42742733157933	0
4.60116902831942	5.05545599129194	0
3.77189073245972	9.43493114551529	0
1.81571483844891	7.10310534092867	0
8.24807521887124	6.09595113900557	0
4.67116086976603	5.16111344421005	0
4.14932736894116	2.27576487737572	0
2.37514322157949	1.31118291933942	0
6.13121355185285	4.78810350591397	0
4.17043122230098	3.22939754628214	0
6.76565985195339	6.13191906213164	0
7.93720468878746	2.04689281392866	0
9.24912965623662	10.4806756314416	0
2.21199830295518	1.3279103648473	0
14.4515085854484	7.93153326627031	0
38.1811045726314	6.22797561604455	0
48.79258092722	16.1463316560887	1
49.1790898261115	20.9242491445012	1
44.6679762190551	11.4219789917263	0
11.168377661102	6.24062220070496	0
3.57110972442982	6.6875006769228	0
5.90445846303931	6.94809809851834	0
5.99142125014719	5.11065531803116	0
4.13996312376356	7.99961787263599	0
0.457548337586254	9.05402320909932	0
5.60466897208244	9.8563029280065	0
7.78005549218506	8.86013124379909	0
8.95073769591448	8.0425358311542	0
7.44974818313494	2.99622787008283	0
9.48507009772584	6.41378532954183	0
9.58967975107953	0.795471105807215	0
8.6356660281308	1.43340633800849	0
45.7619699296065	17.5397109009199	1
62.5479383743562	17.1417613510683	1
23.4147729919724	30.7952261587247	1
46.4791658708304	17.5313290154643	1
9.9978778567256	1.69999517871672	0
0.953605766408145	2.95023901026279	0
6.73962002340257	6.17427816993311	0
11.4671413809946	11.2852365983103	0
3.30042561268544	5.67248773220137	0
6.52716664830223	8.84406372242185	0
19.195486433626	8.3778234934929	0
62.7199786425181	13.2360441869827	1
20.3086608794153	12.1589799451916	1
14.3035293467872	3.64080487964913	0
7.76213294824257	9.25624430909035	0
4.16270102607086	9.28408975240046	0
9.82511892914772	4.31242674821988	0
5.69075425388291	5.87547246701604	0
1.93027039291337	7.16979208657867	0
0.331229530836642	8.25932574010968	0
7.46784717077389	8.20609279251298	0
6.8054974405095	5.08259672954246	0
4.43889917344511	4.69634508657277	0
78.2893953987569	51.7611649003617	1
6.33724196502671	6.71323437824935	0
7.25600475139171	2.47676352903217	0
9.63617297796947	10.1322723889611	0
54.3607433795571	15.1352432369135	1
8.59771277289838	3.55135678080842	0
4.84595930669457	2.9887897358276	0
4.8234879411757	6.11758455442774	0
4.4436745531857	2.4165650040001	0
8.68737708311528	4.45559747189002	0
7.80228041268095	10.9087067252803	0
31.7035300853401	18.767987301749	1
30.3614026186757	25.7172942423105	1
10.3219514838421	8.32354108185217	0
12.5627495998997	12.3063426125346	0
4.38899726726726	4.50423722383794	0
9.1957802866137	5.8720870228982	0
37.393698489622	15.2584777723846	1
18.4699526760943	11.9261764054219	0
10.32241474332	13.763720058897	0
7.06253937495351	7.16341565210813	0
9.14286573548636	5.60778033127859	0
7.96261177165434	7.62253600427392	0
10.3977579542826	7.18669583057568	0
7.72188659291714	7.75842705275863	0
3.93936857581139	8.91059463291252	0
9.8132995609194	7.23545334844378	0
6.90429818583652	4.16709283698079	0
8.56085893930867	8.74594996846917	0
7.56545051233843	3.03704157529363	0
1.53697918950808	5.94435373391178	0
3.38027952704579	1.47098803442472	0
22.1388149782129	4.46390996770501	0
45.2966542651795	26.8226947126836	1
11.9706410502821	8.80589569285452	0
6.60338904833257	8.14801944294065	0
4.04649931238964	2.77051223855674	0
46.2635758120187	18.6665800148807	1
